Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
002400.SZ,0.0000,"7,215.4103","8,134.7222","8,586.8997","7,961.4533","9,181.9034","8,760.4271","9,174.6819","9,257.0697","9,338.5574","9,228.5756","9,094.9802","10,022.0909","9,857.6463","10,031.2066","10,156.5357","9,861.1609","10,110.0679","10,462.9211","9,770.8858","8,438.8035","7,967.3103","7,779.7775","6,594.9148","6,060.2730","5,675.6952","4,857.8798","3,295.7770","3,086.0657","3,144.1293","3,090.5068","3,233.5389","3,035.2613","2,893.6991","2,641.2073","2,542.9059","2,299.4630","2,074.7264","2,047.6124","1,990.2171","1,957.2618","1,721.8680","1,731.5479","1,621.4959","1,638.3035",746.4936,616.4742,0.0000,565.1577,0.0000
002712.SZ,0.0000,"2,709.3701","2,746.9084","4,037.8357","3,858.0408","4,097.0617","4,567.5487","4,560.7786","4,633.5734","4,601.1123","4,400.1676","5,170.3782","5,129.2981","5,253.0172","5,135.1767","4,543.0468","4,221.4923","4,033.7372","2,599.2582","2,589.8709","2,520.5881","2,072.6715","1,693.3755","1,268.4208","1,249.2801","1,170.6077","1,193.2599","1,132.5417",999.0819,"1,006.9186",797.2913,681.2187,592.3519,0.0000,574.4534,0.0000,0.0000,0.0000,515.0712,0.0000,0.0000,0.0000,443.9337,0.0000,0.0000,0.0000,361.3235,0.0000,0.0000,0.0000
002878.SZ,"1,338.7342","1,353.2599","1,455.0132","1,243.9926","1,297.4458","1,208.8713","1,324.4077","1,135.7988","1,046.1324","1,034.7856","1,005.7242",742.3081,742.4793,731.2646,714.4060,640.5646,634.2620,381.5671,484.9675,0.0000,0.0000,0.0000,372.0634,0.0000,0.0000,0.0000,315.6596,0.0000,0.0000,0.0000,340.0956,0.0000,0.0000,0.0000,380.5186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
002995.SZ,0.0000,"1,684.5788","1,633.3281","1,703.7209",937.6125,814.0933,806.5677,0.0000,709.2132,0.0000,708.7978,0.0000,0.0000,0.0000,397.3096,0.0000,339.4108,0.0000,290.4056,0.0000,0.0000,0.0000,195.4239,0.0000,0.0000,0.0000,145.3780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300038.SZ,0.0000,"5,179.1196","5,485.5204","13,619.6674","13,847.6415","14,738.5953","14,672.6213","14,359.2013","14,063.3602","13,533.1140","13,433.5992","12,969.7421","12,403.1956","12,256.1634","12,039.0930","11,869.9876","10,448.6682","10,482.8360","3,947.0265","3,268.4309","3,029.4895","2,991.8442","3,022.7553","2,353.3923","2,248.9244","2,067.5320","1,889.2051","1,797.0903","1,684.0101","1,590.4373","1,596.4598","1,542.7158","1,455.8666","1,314.1731","1,155.4311","1,119.2834","1,175.9859","1,073.9734","1,045.7033","1,134.7389","1,067.9522",984.2458,"1,069.1026",998.6238,904.3443,895.8036,917.5427,321.4757,0.0000,0.0000
300058.SZ,0.0000,"21,404.3028","21,518.9695","20,119.7772","19,704.0734","18,688.4189","19,051.3363","18,617.7383","17,661.4281","17,602.3192","16,962.5020","16,522.2404","16,928.1571","17,120.2971","16,731.8182","18,117.3015","18,873.3038","18,288.2622","16,529.1715","16,513.3445","15,285.2397","16,186.3388","16,369.2120","17,069.9989","12,913.3995","12,197.5853","11,370.1731","8,415.0909","7,550.6856","7,974.6816","6,729.4567","5,636.0755","2,835.5281","2,523.5387","2,565.4451","2,203.4782","2,050.6596","1,529.5807","1,507.3371","1,252.6103","1,083.7941",956.0746,950.5027,920.0306,895.7556,886.9127,304.0304,229.8666,241.9366,0.0000
300063.SZ,0.0000,"3,397.9553","3,179.8806","2,942.6086","3,074.0695","3,050.6875","2,753.2894","2,718.2212","2,677.4263","2,450.8190","2,514.4990","3,572.6782","3,596.4177","3,929.5534","3,548.6624","3,993.4830","3,887.5896","3,981.2647","3,686.9089","3,880.3873","3,744.9089","3,553.7780","3,351.4296","1,426.3836","1,437.9482","1,451.9705","1,200.0149","1,223.1746","1,058.8394",986.1626,956.6727,916.0246,933.3783,766.0379,753.2069,734.4491,694.9898,696.5376,691.2537,720.5484,671.6187,684.0223,692.6821,677.8572,671.6714,694.5125,226.5350,0.0000,0.0000,0.0000
300071.SZ,0.0000,"1,186.0543","1,222.3728","1,612.6985","1,644.5105","1,739.5430","1,875.5012","2,294.5676","2,381.5788","2,398.9231","2,796.5600","3,300.0871","3,200.9191","3,460.1376","3,684.3077","3,773.0085","3,335.3972","3,329.5329","3,348.9631","3,445.4774","2,778.6441","2,582.9190","2,584.5792","1,819.5411","1,747.1735","1,712.4192","1,710.3287",914.4296,870.6528,898.4160,"1,001.2228",964.2025,914.5636,791.0887,659.7452,625.1467,572.2357,594.1717,562.9836,478.4653,475.1444,463.3162,452.4932,431.5485,426.9665,147.5927,146.1046,0.0000,152.7936,0.0000
300242.SZ,0.0000,"2,158.6689","2,225.8524","2,493.1148","2,238.9678","2,635.0964","2,433.0800","2,392.9961","2,142.5721","2,204.5625","2,154.1162","3,419.3529","3,307.6294","3,338.7110","2,758.8838","2,883.3078","2,787.5403","2,900.4312","2,795.3405","2,750.1426","2,675.1709","2,626.8560","2,570.3685",870.1484,860.6287,799.7113,314.8791,327.5455,314.1083,324.0064,313.3311,333.2176,324.5851,335.9841,332.7215,329.1786,320.9659,321.5598,333.5706,332.2313,171.9042,153.7541,168.7286,0.0000,0.0000,0.0000,118.6342,0.0000,0.0000,0.0000
300269.SZ,"1,615.9993","1,622.9106","1,701.8666","1,966.2182","2,160.4534","2,456.5312","2,799.9255","4,302.7700","4,352.2630","4,546.0825","4,654.8250","7,712.4235","7,775.3192","7,957.9604","8,321.6805","8,943.9863","8,012.0830","7,566.5503","7,259.3989","7,048.7916","6,873.2468","3,572.2355","3,195.7946","3,159.5591","3,130.7787","3,153.3043","2,046.4391","1,930.5605","1,818.6828",846.0634,917.6950,922.6396,893.3352,918.3680,917.5589,880.8740,828.9734,811.7712,845.9696,866.7826,479.3307,0.0000,385.2809,0.0000,0.0000,0.0000,278.6945,0.0000,0.0000,0.0000
