Code,2011/1/25,2011/2/25,2011/3/25,2011/4/25,2011/5/25,2011/6/25,2011/7/25,2011/8/25,2011/9/25,2011/10/25,2011/11/25,2011/12/25,2012/1/25,2012/2/25,2012/3/25,2012/4/25,2012/5/25,2012/6/25,2012/7/25,2012/8/25,2012/9/25,2012/10/25,2012/11/25,2012/12/25,2013/1/25,2013/2/25,2013/3/25,2013/4/25,2013/5/25,2013/6/25,2013/7/25,2013/8/25,2013/9/25,2013/10/25,2013/11/25,2013/12/25,2014/1/25,2014/2/25,2014/3/25,2014/4/25,2014/5/25,2014/6/25,2014/7/25,2014/8/25,2014/9/25,2014/10/25,2014/11/25,2014/12/25,2015/1/25,2015/2/25,2015/3/25,2015/4/25,2015/5/25,2015/6/25,2015/7/25,2015/8/25,2015/9/25,2015/10/25,2015/11/25,2015/12/25,2016/1/25,2016/2/25,2016/3/25,2016/4/25,2016/5/25,2016/6/25,2016/7/25,2016/8/25,2016/9/25,2016/10/25,2016/11/25,2016/12/25,2017/1/25,2017/2/25,2017/3/25,2017/4/25,2017/5/25,2017/6/25,2017/7/25,2017/8/25,2017/9/25,2017/10/25,2017/11/25,2017/12/25,2018/1/25,2018/2/25,2018/3/25,2018/4/25,2018/5/25,2018/6/25,2018/7/25,2018/8/25,2018/9/25,2018/10/25,2018/11/25,2018/12/25,2019/1/25,2019/2/25,2019/3/25,2019/4/25,2019/5/25,2019/6/25,2019/7/25,2019/8/25,2019/9/25,2019/10/25,2019/11/25,2019/12/25,2020/1/25,2020/2/25,2020/3/25,2020/4/25,2020/5/25,2020/6/25,2020/7/25,2020/8/25,2020/9/25,2020/10/25,2020/11/25,2020/12/25,2021/1/25,2021/2/25,2021/3/25,2021/4/25,2021/5/25,2021/6/25,2021/7/25,2021/8/25,2021/9/25,2021/10/25,2021/11/25,2021/12/25
601288.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4255,-0.4846,6.5413,7.0574,-3.9135,7.5184,14.1311,-3.5093,5.7097,0.5118,1.4933,1.596,-0.4514,0.0622,1.1538,-0.0594,0.0997,-0.0016,0.13,0.1933,-0.1091,0.0767,0.1454,-0.2399,0.3617,0.3665,0.3473,0.2093,0.3713,-0.2351,1.2821,0.0548,0.1179,-0.2901,0.8245,0.4999,3.9545,-2.7316,-0.7565,-0.2101,-0.0331,-0.328,1.179,0.0565,1.5487,0.2961,-0.8694,0.1472,0.3426,1.2217,-0.2363,0.8862,-0.416,0.2038,0.0158,-0.4052,0.2659,0.4445,-0.0943,0.1534,-0.2834,-0.5771,-0.1423,0.1185,-0.0981,-0.0782,0.5229,0.1504,-0.0103,0.0796,0.5414,-0.2197,0.1179,0.4923,0.6081,-0.3677,0.2134,0.0096,-0.2559,0,0,0,0,0
601328.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.5374,-1.8679,13.4038,21.9849,-1.1903,130.6386,-10.1767,-1.8242,14.3991,4.0602,7.1711,4.9753,-3.3949,-0.7268,7.1492,-0.0655,1.1088,0.266,1.0638,0.9688,-0.9153,0.3613,0.8878,2.5512,1.3314,1.1935,0.1531,-0.6213,2.2199,-0.64,4.9477,4.7893,-0.5858,-0.2126,2.5034,0.5165,10.9274,-2.2505,-1.4608,0.2476,-0.3064,-0.7157,1.4218,0.0827,1.2283,0.8729,-0.534,0.0739,1.697,2.5319,-0.0503,2.6883,-1.5091,-0.3357,-0.1202,-1.3437,0.6445,1.1484,-0.0944,0.7155,-0.5123,-2.7265,-0.5735,0.125,-0.2564,0.1461,0.9097,0.791,-0.937,0.4613,1.672,-1.6522,0.6761,1.2413,6.9694,-1.1693,1.1184,-0.0551,-2.0528,0,0,0,0,0
601398.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6672,0.1927,2.4962,5.0267,-1.8784,4.0915,5.8121,-1.6564,5.984,0.7336,0.7598,0.8987,-0.4032,-0.0641,0.9692,0.0259,0.0639,0.0344,0.0651,-0.0314,-0.1481,0.0159,0.2145,0.0163,0.2456,0.1068,0.1543,0.1021,0.4346,-0.162,0.9059,0.5474,0.1461,0.5495,0.0414,0.6082,3.7096,-2.6708,-1.075,0.0859,-0.364,-0.2739,1.4544,-0.1388,0.6823,-0.0198,-0.5337,-0.055,0.6053,1.067,-0.2447,1.1954,-0.2679,0.5482,0.0055,-0.3028,0.2449,0.4948,-0.0272,0.1786,-0.2055,-1.0971,-0.2303,0.0483,-0.0549,0.0647,0.5446,0.2972,0.0082,0.2701,1.7362,-0.4299,0.6098,1.4973,0.6674,-0.601,0.1778,-0.049,-0.6844,0,0,0,0,0
601658.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.4273,-11.4737,-15.3861,4.1356,2.385,-3.7837,-49.7926,53.7158,9.511,-2.4542,7.8527,48.3134,-20.8413,64.4303,42.6562,-4.9678,-34.2111,28.247,-15.9335,5.8047,0,0,0,0,0
601939.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.5835,-3.3886,40.0442,102.4093,-31.5812,125.8798,91.3115,-25.6914,61.6883,5.1617,17.3848,15.7665,-11.8212,-7.2048,16.4945,-4.8879,4.7843,2.2636,12.9219,5.8949,-2.4006,1.9046,9.7604,-2.0796,5.677,5.5881,0.6158,2.01,11.929,-1.4711,18.1436,5.2042,1.1096,6.2151,4.8163,9.7587,57.703,-41.9025,-11.2395,-2.3222,-6.3283,-9.8841,29.2384,-1.5653,11.864,1.8009,-11.7117,-3.0674,13.7101,15.6063,-6.2052,27.4264,-9.5953,5.2482,3.0567,-6.1498,3.3492,3.5396,-1.5284,2.1037,-3.412,-12.4692,-4.1155,2.475,-0.5341,-1.573,20.6568,5.6944,1.0369,10.865,34.6988,-19.2177,19.5268,31.2743,9.5581,-11.1331,5.038,-4.1353,-9.9369,0,0,0,0,0
601988.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3752,-2.381,8.2651,15.3681,-6.608,27.0374,31.9296,-4.0694,4.3819,1.1363,3.5746,1.9715,-2.0447,0.0246,1.5528,-0.0047,0.1994,-0.0112,0.3262,-0.2063,-0.2277,0.0862,0.5566,0.0981,0.4077,0.4758,0.0197,-0.1856,0.736,-0.338,1.9879,1.5921,-0.1837,-0.4913,0.3246,0.2919,3.8688,-1.8922,-0.8443,-0.2224,0.0124,-0.231,0.5211,-0.1036,0.5497,0.1092,-0.2304,0.0371,0.1626,1.0994,-0.2155,0.7368,0.1752,0.0466,-0.0501,-0.2346,0.1192,0.2446,-0.0606,0.1266,-0.0907,-0.3875,-0.0578,-0.1319,-0.0488,0.0295,0.4922,0.0451,-0.1219,0.0124,0.2678,-0.1904,0.051,0.1804,0.4369,-0.198,0.2178,-0.182,-0.1843,0,0,0,0,0
002142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.3479,23.0294,173.2683,65.3982,-8.2098,115.0406,-52.1709,13.3969,-14.9553,20.3311,59.2821,47.2305,-14.8071,4.2666,15.4789,5.8901,7.7703,-0.113,6.6869,-38.6036,-5.1947,6.5525,6.4592,-6.7606,5.5609,5.8652,-0.3463,-2.607,6.0012,8.1973,10.2341,2.9185,1.2158,10.2925,8.7657,-1.4912,10.2528,-0.5022,-2.1041,-2.4207,-2.5629,-2.1516,5.7632,0.8923,4.1984,5.156,-2.0882,-1.9197,2.1359,8.9847,6.3066,6.5384,0.5546,3.5789,1.2447,0.6614,10.5577,4.8631,-0.3665,1.7289,-0.9248,-3.9348,-0.3791,13.4937,0.1973,2.0281,17.2597,17.2291,-7.0521,9.5749,9.463,-3.2893,11.3248,2.4806,0.3445,6.7313,1.6397,-4.9214,-12.77,0,0,0,0,0
002807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-249.8324,253.8162,93.1262,-86.4794,-26.8683,2503.1468,-285.5523,485.853,-1104.8413,165.4996,-99.3306,386.5678,-158.0521,-18.9521,27.3797,14.9871,143.4307,-91.0762,-25.0332,-4.2388,-3.5012,-14.5542,64.6227,-2.3448,6.933,58.4847,59.9408,-3.9599,12.2569,169.7003,9.5658,7.3443,-9.458,5.9466,0.3001,-4.5556,2.2429,4.6672,0.2146,4.9975,-2.4529,-6.6067,9.0813,0.6348,-0.8448,1.8457,59.0378,8.1892,-2.8597,-0.5412,3.1273,32.6661,-3.4661,3.6726,9.6015,-1.297,2.347,-2.0931,-2.2288,0,0,0,0,0
002839.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8343,2264.4621,2067.1396,-913.7696,-161.5937,89.2457,-72.4909,316.1595,-113.1248,-41.723,267.6063,86.2334,412.7323,-78.3097,-109.1946,-11.0797,-9.8715,-55.1167,104.0887,-8.5092,11.8161,268.1677,62.6493,-11.5912,69.2099,377.9964,-24.6835,2.5091,-34.7166,20.6891,4.724,-2.9281,11.6814,79.444,-3.3311,25.6146,-17.253,9.5031,48.558,7.7507,-3.6888,92.8753,224.5163,44.3278,-8.4727,5.9599,37.7219,19.5125,-15.0572,14.4245,7.0742,-0.8138,10.6574,-3.297,27.0037,0,0,0,0,0
002936.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-517.9512,-29.7173,-42.651,-3.6733,-29.3401,616.1899,470.7637,-23.1975,-16.1396,23.0053,-5.5886,-6.1254,19.2814,7.2218,-3.5109,7.3033,-4.167,-17.979,0.6303,-0.526,0.0026,4.1467,93.4615,22.2787,0.3384,-2.8894,8.834,456.0729,-207.8546,23.9466,-1.2049,-1.4322,3.2124,-0.3238,-3.196,0,0,0,0,0
