Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31
603688.SH,0,1.3197,4.2832,3.0132,1.8973,0.8186,3.7460,2.7871,1.8048,0.8232,3.6576,2.5323,1.5972,0.7560,3.6021,2.6191,1.6409,0.7878,3.1618,2.1778,1.3987,0.6382,3.1324,2.3988,1.6025,0.7625,3.4828,2.6326,1.7269,0,3.9168,2.5233,1.8895,0,4.1487,0,0,0,6.6789,0,0,0,6.6644,0,0,0
603703.SH,0,0.9264,2.7777,1.9057,1.2118,0.5983,3.1621,2.3773,1.6242,0.7485,2.2479,1.5725,1.1029,0.6175,3.6125,2.4596,1.6561,0.8291,2.3995,1.8259,1.1612,0.5260,2.2846,1.6751,1.0873,0,2.9921,0,0,0,2.9789,0,0,0,3.4510,0,0,0,4.3049,0,0,0,0,0,0,0
603933.SH,0,1.2093,4.3274,3.1901,2.0223,0.9048,4.5716,3.5836,2.3359,1.1220,6.6145,4.6188,3.0992,1.6687,8.2549,5.9117,4.1276,1.9801,8.1073,6.5160,4.1966,1.7661,8.3025,0,4.0784,0,8.6863,0,0,0,8.6343,0,0,0,7.3975,0,0,0,0,0,0,0,0,0,0,0
605277.SH,0,1.0024,3.5475,2.5382,1.6853,0,3.7879,0,1.8076,0,3.4182,0,0,0,3.5375,0,0,0,2.9345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605378.SH,0,1.5479,6.5152,0,2.5545,0,5.1670,0,0,0,5.4205,0,0,0,5.7881,0,0,0,4.5189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688093.SH,0,0.5407,2.8600,2.0614,1.4015,0,3.0254,0,0,0,3.2571,0,0,0,2.8499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688195.SH,0,0.6241,3.3219,0,1.6120,0,3.2167,0,0,0,3.2073,0,0,0,2.6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688388.SH,0,2.6625,9.5222,6.2143,4.0419,1.7486,13.3890,7.8578,6.0247,2.5153,12.1679,0,6.5583,0,14.6811,0,10.7678,6.8302,14.4155,9.1121,4.4556,2.2433,9.4906,0,0,2.1755,9.2898,0,0,0,6.9088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688668.SH,0,0.8058,3.6862,2.5302,1.5271,0,2.9217,0,0,0,3.1533,0,0,0,2.9942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000021.SZ,0,1.3525,6.2884,5.0528,3.2701,1.5834,7.8359,6.5150,4.2446,0,10.1407,0,5.0933,2.4672,7.3473,4.9449,3.3678,1.6263,7.7974,6.3060,3.8948,2.1821,8.0083,4.8283,3.4955,1.8105,8.1194,6.2208,4.2645,2.3149,9.2999,8.1737,5.2724,2.5073,11.3600,8.0971,5.5877,2.7348,12.5691,11.0405,6.7926,3.5417,16.8030,14.2403,10.9801,4.9778
000049.SZ,0,0.9719,4.5276,3.2660,1.9755,0.8794,4.5670,2.9597,2.0122,0.9921,4.4297,2.8507,1.9352,1.0345,4.0146,2.9868,1.9897,1.0194,4.3080,3.1038,2.2353,1.1692,5.2623,3.4380,2.3126,1.2327,3.4055,2.2461,1.6248,0.7972,2.8471,2.4854,1.8778,1.0262,3.2468,2.6046,1.9212,1.0313,3.4492,2.8990,2.1764,0.9631,3.7706,2.3927,1.7215,0.8793
000727.SZ,0,1.7100,12.8922,5.2220,3.3484,1.5620,6.8150,4.2015,3.2864,1.5235,7.0293,4.4956,3.2640,1.5082,9.8886,6.9618,5.5774,2.5800,3.4962,1.8630,1.2075,0.5126,3.1682,2.6570,1.8275,0.8060,4.4486,3.1392,2.0279,0.9955,4.6006,3.3754,2.2657,1.1534,5.0205,3.5728,2.1208,0.9566,4.3803,3.1394,2.0826,1.0038,4.2108,2.6251,1.5117,0.7760
000988.SZ,1.9983,0.8498,2.8165,2.1865,1.2504,0.3641,2.5998,1.8348,1.2156,0.5955,2.6355,1.8724,1.2612,0.6070,2.7655,1.9190,1.2449,0.6323,2.7894,1.8731,1.2740,0.6544,2.5717,1.8701,1.2314,0.6026,2.8051,2.0428,1.2961,0.6193,2.2202,1.5242,0.9871,0.4551,2.3185,1.7721,1.2234,0.6687,3.0925,2.1404,1.4553,0.7049,3.0238,2.1206,1.3842,0.6713
002008.SZ,0,0.7444,2.9548,2.0652,1.3173,0.4004,2.2677,1.6470,1.0772,0.4731,2.7007,1.9511,1.3385,0.4983,3.8047,2.2889,1.5747,0.6348,3.3384,2.4313,1.4926,0.6762,3.2563,2.2341,1.4167,0.6076,3.6053,2.1745,1.4241,0.5917,2.8670,1.9596,1.2635,0.5146,3.2034,2.3227,1.4490,0.6373,3.5179,2.4739,1.5841,0.7273,3.8163,2.5736,1.7035,0.7562
002036.SZ,0,1.0983,3.8692,2.7408,1.3249,0.5817,3.7609,2.8059,1.8757,0.7322,4.0156,2.7029,1.9172,0.8416,5.4429,3.5530,2.3850,0.7958,4.6588,2.5045,1.4069,0.6366,4.8674,3.1998,2.1512,1.0096,4.2365,2.8533,1.8522,0.8192,5.4336,3.6060,2.4432,1.0872,5.3723,3.7071,2.3211,1.0076,5.6517,3.8831,2.1232,1.0994,4.7611,3.2592,1.9560,0.8809
002045.SZ,0,0.9991,3.6044,2.3275,1.5312,0.6819,3.9769,2.6543,1.7144,0.8128,3.5770,2.4978,1.7229,0.8264,3.7515,2.4729,1.6930,0.8202,3.1998,2.2662,1.5497,0.6774,3.5721,2.4475,1.7111,0.8469,3.5272,2.5119,1.6036,0.7475,3.7602,2.6641,1.8025,0.8034,3.2497,2.4270,1.6013,0.7080,3.5663,2.5394,1.5900,0.7464,3.8229,2.6517,1.8040,0.8703
002055.SZ,0,1.0939,3.7225,2.5447,1.6024,0.6763,3.5639,2.5283,1.6919,0.8231,3.9925,3.1132,2.0084,0.9883,3.7701,2.5795,1.7027,0.8722,3.7002,2.7346,1.7681,0.8894,3.1266,2.4834,1.7156,0.8746,3.2587,2.3463,1.5186,0.6537,3.0316,2.1936,1.4217,0.6338,3.0137,2.2513,1.4673,0.7610,3.8777,2.8226,1.8004,0.8799,3.4507,2.6944,1.7462,0.9011
